station,date,datatype,value,attributes
GHCND:US1ORBK0020,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
GHCND:US1ORBK0020,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORBN0002,2023-01-01T00:00:00,PRCP,0.14,",,N,0710"
GHCND:US1ORBN0007,2023-01-01T00:00:00,PRCP,0.18,",,N,0800"
GHCND:US1ORBN0012,2023-01-01T00:00:00,PRCP,0.11,",,N,0700"
GHCND:US1ORBN0013,2023-01-01T00:00:00,PRCP,0.46,",,N,0700"
GHCND:US1ORBN0013,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORBN0013,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORBN0018,2023-01-01T00:00:00,PRCP,0.16,",,N,0750"
GHCND:US1ORBN0021,2023-01-01T00:00:00,PRCP,0.24,",,N,0800"
GHCND:US1ORBN0021,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORBN0022,2023-01-01T00:00:00,PRCP,0.21,",,N,0930"
GHCND:US1ORBN0022,2023-01-01T00:00:00,SNOW,0.0,",,N,0930"
GHCND:US1ORBN0022,2023-01-01T00:00:00,SNWD,0.0,",,N,0930"
GHCND:US1ORBN0022,2023-01-01T00:00:00,WESD,0.0,",,N,0930"
GHCND:US1ORBN0022,2023-01-01T00:00:00,WESF,0.0,",,N,0930"
GHCND:US1ORBN0028,2023-01-01T00:00:00,PRCP,0.1,",,N,0700"
GHCND:US1ORBN0030,2023-01-01T00:00:00,PRCP,0.08,",,N,0810"
GHCND:US1ORBN0032,2023-01-01T00:00:00,PRCP,0.14,",,N,0800"
GHCND:US1ORBN0032,2023-01-01T00:00:00,SNOW,0.0,",,N,0800"
GHCND:US1ORBN0032,2023-01-01T00:00:00,SNWD,0.0,",,N,0800"
GHCND:US1ORBN0033,2023-01-01T00:00:00,PRCP,0.25,",,N,0800"
GHCND:US1ORBN0040,2023-01-01T00:00:00,PRCP,0.15,",,N,0800"
GHCND:US1ORBN0041,2023-01-01T00:00:00,PRCP,0.18,",,N,0700"
GHCND:US1ORBN0053,2023-01-01T00:00:00,PRCP,0.14,",,N,0700"
GHCND:US1ORBN0062,2023-01-01T00:00:00,PRCP,0.22,",,N,0939"
GHCND:US1ORBN0065,2023-01-01T00:00:00,PRCP,0.13,",,N,0700"
